SMILES,PC1,NR-AR
Br,-0.3765914272574969,0
BrC(Br)Br,-0.37663820297021317,0
BrC(Br)C(Br)(Br)Br,-0.376499814357459,0
BrC(Br)C(Br)Br,-0.3766351913810264,0
BrC/C=C/CBr,0.16454396846383695,0
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,0.25918438767270263,0
BrCBr,-0.3765558031718397,0
BrCC(Br)(Br)Br,-0.37638579480621065,0
BrCC(Br)C1CCC(Br)C(Br)C1,0.13827094548209234,1
BrCC1CO1,0.245374474698748,0
BrCCBr,-0.3765571613822363,0
BrCCCBr,-0.3765577841215703,0
BrCCCCBr,-0.05015323487544804,0
BrCCCCCBr,-0.050160959917410874,0
BrCCCCCCBr,-0.050160959917410874,0
BrCCOc1ccccc1,-0.3419143513035593,0
BrCCc1ccccc1,-0.6369352890297096,0
BrCc1ccc(Br)cc1,-0.636768949678391,0
BrCc1cccc(Oc2ccccc2)c1,-0.6365920080389145,0
BrCc1ccccc1,-0.6369464407429104,0
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,-0.6368368260343699,1
Brc1c(Br)c(Br)c2[nH]cnc2c1Br,-0.5758549741807781,0
Brc1c(NC2=NCCN2)ccc2nccnc12,-0.7475743861018382,0
Brc1c2ccccc2c(Br)c2ccccc12,-0.5159684036031122,0
Brc1c2ccccc2cc2ccccc12,-0.5158835122839064,0
Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br,-0.6367708487748803,0
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,-0.636632834731125,0
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,-0.6366003346870287,0
Brc1cc2ccccc2c2ccccc12,-0.515866857857398,0
Brc1ccc(-c2ccccc2)cc1,-0.6369179231381158,0
Brc1ccc(Br)c(Br)c1,-0.6367506948281112,0
Brc1ccc(Br)cc1,-0.6368163271715805,0
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,-0.636667894330913,0
Brc1ccc(Oc2ccc(Br)cc2)cc1,-0.6366214353710995,0
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,-0.6366389783839741,0
Brc1ccc(Oc2ccccc2)cc1,-0.6366675959080006,0
Brc1ccccc1,-0.6369774340834907,0
Brc1ccccc1-c1ccccc1,-0.6368382868095913,0
Brc1nc2ccccc2s1,-0.5760733185034728,0
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,-0.791736547693928,0
C#CC(C)(C)O,-0.1566288799569188,0
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,-1.0114454645842645,0
C#CC(O)C(CC)CCCC,0.6062042287141172,0
C#CC(O)CCCCC,0.9010031919006518,0
C#CC1(O)CCCCC1,0.9425213509221988,0
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,3.1689451215841644,1
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-0.5637333389863095,0
C#CCC1=C(C)[C@H](OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O,2.109749725750513,0
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,0.2656718674151071,0
C#CCN(C)Cc1ccccc1,-0.697483655385619,0
C#CCN(C)[C@H](C)Cc1ccccc1,-0.029407774750485782,0
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21,0.8406575995357493,0
C#CCN1CC(=O)N(COC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)C1=O,1.3927730759487453,0
C#CCN[C@@H]1CCc2ccccc21,-0.08347947166446973,0
C#CCO,-0.376295487970182,0
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,1.202133455087085,0
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,-0.8394322284498635,0
C#CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1,0.15925279129839548,0
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,0.42668672952914516,0
C#CCOc1ccc2c(C)cc(=O)oc2c1,-0.38105582660802834,1
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,3.474517928690709,1
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,2.997980390707649,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,3.6085057667069016,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,2.783311973727164,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,2.7639043403135912,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,3.1685782889712106,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,3.7445151377311388,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,3.1689451215841644,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.880860025211581,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,2.8987177983987493,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,3.209576008531949,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,2.5113917805465507,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,2.511417568348937,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,2.5110956259463517,0
C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@H]3C,3.4922060391690852,1
C#C[C@]1(OC(=O)CCCCCC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,3.678152338696776,1
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,2.717510102717909,1
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,3.6784683955635464,1
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,3.408575350311603,1
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0.06025567177044239,1
C#N,-0.5798927808373162,0
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,-0.041411749257533215,0
C(=C/C=N/c1ccccc1)\C=C\Nc1ccccc1,-0.7973819052828945,0
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-0.47062694100474545,0
C(=C/c1ccccc1)\c1ccccc1,-0.4223379126936322,0
C(=C\c1ccccc1)\c1ccccc1,-0.4223379126936322,0
C(=Cc1ccncc1)c1ccccc1,-0.6256743824683928,0
C(=NC1CCCCC1)=NC1CCCCC1,-0.23697234581254314,0
C(CCOCC1CO1)COCC1CO1,0.4329578040958086,0
C(COCC1CO1)OCC1CO1,0.2453260410039501,0
C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,0.6906127912118956,0
C/C(=C(\CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,0.033282474771556714,0
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,1.1556034517362386,0
C/C(=C\C(C)CC(C)CC(C)C)C1CC(=O)OC1=O,1.4483602638706146,0
C/C(=C\c1ccccc1)[N+](=O)[O-],-0.6036723394864636,0
C/C(=C\c1csc(C)n1)[C@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)C(O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,2.336439718624877,0
C/C(=N\Cc1ccccc1)c1ccccc1O,-0.6699613444677914,0
C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O,-0.9237347743012192,0
C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,-0.35472848237690435,0
C/C=C(/C)C#N,0.015863392931114995,0
C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,3.006379373104145,0
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,-0.04105594491819797,0
C/C=C(C)/C=C/C=C(C)C,0.21933852982929475,0
C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C,1.2022803045476762,0
C/C=C(\C)C(=O)OCC/C=C\CC,0.8408260705776693,0
C/C=C(\C)C(=O)OCCc1ccccc1,0.2540797951120192,0
C/C=C(\C)C(=O)OCc1ccccc1,-0.04073772638076045,0
C/C=C(\C)C(C)=O,0.21946477552599414,0
C/C=C(\C)C=O,0.21926518265666922,0
C/C=C/C(=O)Oc1c(CCCCCC(C)C)cc([N+](=O)[O-])cc1[N+](=O)[O-],0.348946324431713,0
C/C=C/C/C=C\CCCCCCCCOC(C)=O,0.8020110421714948,0
