SMILES,2217,2215,686,26,251,1603,696,2216,789,575,1905,349,1441,409,1134,2164,50,915,76,954,1329,671,714,927,272,255,1227,2188,622,1492,66,481,1698,96,1644,1361,161,129,722,2051,1941,101,99,132,115,162,158,1321,116,NR-AR
Br,-4.61527245829388e-05,0.0001417233560090703,0.0,0.0,0.0,0.0,0.0,0.0001878760805920091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BrC(Br)Br,-0.004877941266556626,0.0054275471699190905,0.0,0.0,0.0,0.0,0.0,0.010305488436475716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BrC(Br)C(Br)(Br)Br,-0.008141791297512885,0.02337424578199345,0.0,0.0,0.0,0.0,0.0,0.031516037079506336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BrC(Br)C(Br)Br,-0.004463181607504143,0.0048889335640080935,0.0,0.0,0.0,0.0,0.0,0.009352115171512236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BrC/C=C/CBr,-0.008559071826050917,0.01608230104862772,0.0,0.0,0.0,0.0,0.0,0.024641372874678637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,0.02503637696217601,0.04147477297536726,0.0,0.0,0.0,0.0,0.0,0.016438396013191248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BrCBr,-0.006999310160623884,0.016453883793071382,0.0,0.0,0.0,0.0,0.0,0.023453193953695266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BrCC(Br)(Br)Br,-0.008698850345011944,0.034082694168116136,0.0,0.0,0.0,0.0,0.0,0.04278154451312808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BrCC(Br)C1CCC(Br)C(Br)C1,0.02079377266378545,0.052037022232687656,0.0,0.0,0.0,0.0,0.0,0.031243249568902207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
